text,label
"Tôi đã gặp trải nghiệm phí tiền với đơn hàng vào sáng nay, không trả lời tin nhắn 😭",negative
"Chúng tôi đã gặp trải nghiệm lag với ngân hàng vào lúc 8h, tự ý đổi lịch 💢 :)",negative
"Tôi đã gặp trải nghiệm vô trách nhiệm với thiết bị vào hôm qua, tự ý đổi lịch 👎!!!",negative
"Bọn mình đã gặp trải nghiệm phiền phức với shipper vào tuần trước, tự ý đổi lịch 👎 =))",negative
"Chúng tôi đã gặp trải nghiệm tệ với app vào tối qua, làm việc cho có lệ",negative
"Bọn mình đã gặp trải nghiệm thái độ kém với shipper vào mới đây, không hỗ trợ 🫠",negative
"Bọn mình đã gặp trải nghiệm phí tiền với thiết bị vào vừa xong, không trả lời tin nhắn",negative
"T nhà đã gặp trải nghiệm cùi bắp quá với cửa hàng vào tuần trước, không trả lời tin nhắn 🫠",negative
"Chúng tôi đã gặp trải nghiệm tệ với đơn hàng vào mới đây, nói chuyện như quát :(",negative
"T nhà đã gặp trải nghiệm ko ổn xíu nào với du lịch vào vừa xong, hủy đơn vô cớ",negative
"T nhà đã gặp trải nghiệm quá chán với chăm sóc khách hàng vào hôm qua, không trả lời tin nhắn 🤦",negative
"Tôi đã gặp trải nghiệm dở tệ vl với đồ ăn vào tối qua, đi trễ! :(",negative
"mình đã gặp trải nghiệm phí tiền với nhân viên vào tuần trước, đi trễ 🥵 :v",negative
"bọn mình đã gặp trải nghiệm vô lý vãi với ứng dụng vào hôm nay, tính phí vô lý!!!",negative
"Bọn mình đã gặp trải nghiệm đùa à với bác sĩ vào mới đây, làm việc cho có lệ 😭 =))",negative
"Tôi đã gặp trải nghiệm gian lận với bảo hành vào tối qua, trì hoãn liên tục… :v",negative
"T nhà đã gặp trải nghiệm xàm ghê với môn học vào tối qua, không tôn trọng khách!!! ^^",negative
"t nhà đã gặp trải nghiệm hết muốn nói với ngân hàng vào hôm nay, giao sai hàng 😭!!!",negative
"Tui đã gặp trải nghiệm phí tiền với bệnh viện vào sáng nay, đi trễ 🫠",negative
"Tui đã gặp trải nghiệm lag với shipper vào hôm qua, không hỗ trợ 😡!!",negative
"Bọn mình đã gặp trải nghiệm chán đời với chuyến bay vào hôm nay, cúp máy 😡!!!",negative
"Tui đã gặp trải nghiệm hết hồn luôn với đồ ăn vào lúc 8h, chửi khách 🫠 :)",negative
"Bọn mình đã gặp trải nghiệm ko ổn xíu nào với wifi vào hôm qua, không cho đổi trả 😤… ^^",negative
"Mình đã gặp trải nghiệm vô lý vãi với khách sạn vào mới đây, trì hoãn liên tục 👎",negative
"chúng tôi đã gặp trải nghiệm chậm chạp với xe công nghệ vào vừa xong, không trả lời tin nhắn 😭",negative
"T nhà đã gặp trải nghiệm quá chán với chuyến bay vào hôm nay, trì hoãn liên tục 💢",negative
"Tôi đã gặp trải nghiệm ko ổn xíu nào với laptop vào hôm nay, bắt khách đợi cả tiếng!!",negative
"Chúng tôi đã gặp trải nghiệm đùa à với laptop vào sáng nay, mang thái độ 👎",negative
"Mình đã gặp trải nghiệm quá chán với ngân hàng vào tuần trước, tính phí vô lý 😤!!!",negative
"Tui đã gặp trải nghiệm thất vọng với khoa vào hôm nay, tính phí vô lý 🥵",negative
"Tui đã gặp trải nghiệm đùa à với tổng đài vào lúc 8h, giao sai hàng 😤",negative
"tui đã gặp trải nghiệm ko ổn xíu nào với đơn hàng vào hôm nay, bắt khách đợi cả tiếng",negative
"T nhà đã gặp trải nghiệm kinh khủng với bưu điện vào vừa xong, hủy đơn vô cớ 😡!!!",negative
"Tui đã gặp trải nghiệm toang thật sự với đơn hàng vào hôm qua, không cho đổi trả!!",negative
"Bọn mình đã gặp trải nghiệm vô lý vãi với phòng khám vào mới đây, cúp máy!!!",negative
"mình đã gặp trải nghiệm kinh khủng với shipper vào hôm qua, hủy đơn vô cớ 😡",negative
"Tôi đã gặp trải nghiệm bó tay với phòng khám vào mới đây, giao sai hàng 🥵",negative
"Chúng tôi đã gặp trải nghiệm thái độ kém với wifi vào sáng nay, giao sai hàng 😭!",negative
"Tôi đã gặp trải nghiệm mệt mỏi ghê với app vào mới đây, chửi khách",negative
"t nhà đã gặp trải nghiệm xàm ghê với khoa vào hôm nay, tính phí vô lý 🤦",negative
"Mình đã gặp trải nghiệm kinh khủng với du lịch vào hôm nay, nói chuyện như quát 💢… :(",negative
"Tui đã gặp trải nghiệm dở ẹc với quán ăn vào tuần trước, nói chuyện như quát!",negative
"Chúng tôi đã gặp trải nghiệm phí tiền với bưu điện vào sáng nay, tính phí vô lý…",negative
"Bọn mình đã gặp trải nghiệm bó tay với nhân viên vào hôm nay, làm việc cho có lệ 😤!!!",negative
"Tui đã gặp trải nghiệm vỡ mộng với website vào hôm nay, giao sai hàng 🥵…",negative
"Chúng tôi đã gặp trải nghiệm kinh khủng với bác sĩ vào hôm nay, cúp máy 😭",negative
"Chúng tôi đã gặp trải nghiệm dở òm với du lịch vào tối qua, không cho đổi trả 😤 :v",negative
"T nhà đã gặp trải nghiệm chán đời với chuyến bay vào hôm qua, không cho đổi trả 🥵",negative
"Tui đã gặp trải nghiệm bực mình với thiết bị vào hôm qua, đi trễ 😡 :(",negative
"T nhà đã gặp trải nghiệm phiền phức với cửa hàng vào tuần trước, giao sai hàng 👎",negative
"Mình đã gặp trải nghiệm vô lý vãi với chăm sóc khách hàng vào vừa xong, tự ý đổi lịch :)",negative
"t nhà đã gặp trải nghiệm chậm chạp với wifi vào vừa xong, không trả lời tin nhắn 🤦! :(",negative
"Tôi đã gặp trải nghiệm gian lận với tổng đài vào hôm nay, tự ý đổi lịch 💢…",negative
"Bọn mình đã gặp trải nghiệm bực mình với đồ ăn vào tuần trước, hủy đơn vô cớ 😭",negative
"Tui đã gặp trải nghiệm lag với chuyến bay vào mới đây, cúp máy",negative
"Tôi đã gặp trải nghiệm quá tệ với phòng khám vào mới đây, phớt lờ góp ý 👎!!",negative
"T nhà đã gặp trải nghiệm không ra gì với du lịch vào tối qua, hủy đơn vô cớ 🫠",negative
"t nhà đã gặp trải nghiệm chán đời với nhân viên vào vừa xong, không cho đổi trả 🤦!! =))",negative
"Mình đã gặp trải nghiệm kinh khủng với cửa hàng vào hôm qua, làm việc cho có lệ 😤",negative
"chúng tôi đã gặp trải nghiệm nản với khách sạn vào tuần trước, đi trễ",negative
"Bọn mình đã gặp trải nghiệm phí tiền với giảng viên vào sáng nay, trì hoãn liên tục",negative
"Mình đã gặp trải nghiệm toang với bảo hành vào sáng nay, không tôn trọng khách 😭!!!",negative
"bọn mình đã gặp trải nghiệm chán ngán với siêu thị vào tối qua, nói chuyện như quát 😭",negative
"Chúng tôi đã gặp trải nghiệm lag với ship đồ ăn vào tuần trước, hủy đơn vô cớ 👎 ^^",negative
"tui đã gặp trải nghiệm phí tiền với khoa vào mới đây, không trả lời tin nhắn 💢!",negative
"Tôi đã gặp trải nghiệm nản với phòng khám vào hôm nay, nói chuyện như quát 😭",negative
"Chúng tôi đã gặp trải nghiệm chán đời với trường vào tối qua, bắt khách đợi cả tiếng 👎",negative
"tôi đã gặp trải nghiệm phiền phức với website vào hôm qua, làm việc cho có lệ 🥵",negative
"Bọn mình đã gặp trải nghiệm hết muốn nói với khoa vào sáng nay, không xin lỗi!",negative
"Bọn mình đã gặp trải nghiệm bó tay với thương mại điện tử vào vừa xong, hủy đơn vô cớ 😤… =))",negative
"Tui đã gặp trải nghiệm thái độ kém với khoa vào vừa xong, hủy đơn vô cớ 😡",negative
"Tôi đã gặp trải nghiệm quá chán với bác sĩ vào tuần trước, không hỗ trợ",negative
"Mình đã gặp trải nghiệm kinh khủng với ngân hàng vào hôm nay, tự ý đổi lịch 😤",negative
"Tui đã gặp trải nghiệm lừa đảo với tổng đài vào lúc 8h, phớt lờ góp ý 💢!",negative
"Tôi đã gặp trải nghiệm tệ vcl với chuyến bay vào lúc 8h, cúp máy!!",negative
"Chúng tôi đã gặp trải nghiệm chán đời với app vào hôm qua, không cho đổi trả 👎 :)",negative
"Tui đã gặp trải nghiệm dở tệ vl với wifi vào tuần trước, không cho đổi trả 🫠!!!",negative
"T nhà đã gặp trải nghiệm kinh khủng với môn học vào vừa xong, cúp máy 👎 :v",negative
"bọn mình đã gặp trải nghiệm không ra gì với giảng viên vào sáng nay, hủy đơn vô cớ…",negative
"Mình đã gặp trải nghiệm thiên vị với bưu điện vào lúc 8h, trì hoãn liên tục",negative
"t nhà đã gặp trải nghiệm phiền phức với app vào hôm nay, giao sai hàng…",negative
"Tui đã gặp trải nghiệm cùi bắp với bưu điện vào lúc 8h, làm việc cho có lệ 👎",negative
"Bọn mình đã gặp trải nghiệm hết hồn luôn với quán ăn vào vừa xong, không hỗ trợ :(",negative
"t nhà đã gặp trải nghiệm thiên vị với thương mại điện tử vào sáng nay, không xin lỗi 💢 =))",negative
"Chúng tôi đã gặp trải nghiệm vô lý vãi với chuyến bay vào tuần trước, phớt lờ góp ý 😡…",negative
"Chúng tôi đã gặp trải nghiệm phí tiền với xe công nghệ vào tuần trước, hủy đơn vô cớ",negative
"Tui đã gặp trải nghiệm ức chế vl với ngân hàng vào tuần trước, đi trễ 😤",negative
"Mình đã gặp trải nghiệm dở òm với bệnh viện vào vừa xong, chửi khách :)",negative
"t nhà đã gặp trải nghiệm không ra gì với app vào hôm qua, làm việc cho có lệ 👎",negative
"Chúng tôi đã gặp trải nghiệm mệt mỏi ghê với phòng khám vào hôm nay, không trả lời tin nhắn 🤦",negative
"T nhà đã gặp trải nghiệm cùi bắp quá với khoa vào tối qua, phớt lờ góp ý 🤦… :)",negative
"Mình đã gặp trải nghiệm phí tiền với bưu điện vào lúc 8h, không tôn trọng khách 👎!!!",negative
"bọn mình đã gặp trải nghiệm thiên vị với ngân hàng vào hôm qua, không xin lỗi 😭… :)",negative
"Bọn mình đã gặp trải nghiệm phiền phức với xe công nghệ vào vừa xong, đi trễ ^^",negative
"Chúng tôi đã gặp trải nghiệm cùi bắp quá với đơn hàng vào lúc 8h, làm việc cho có lệ 🥵",negative
"Tui đã gặp trải nghiệm dở ẹc với môn học vào lúc 8h, làm việc cho có lệ 😭!",negative
"Tui đã gặp trải nghiệm lừa đảo với chuyến bay vào hôm nay, trì hoãn liên tục 💢!!! :v",negative
"Chúng tôi đã gặp trải nghiệm fail toàn tập với app vào tuần trước, giao sai hàng!!!",negative
"Mình đã gặp trải nghiệm xàm ghê với điện thoại vào mới đây, không xin lỗi 😤!!!",negative
"Mình đã gặp trải nghiệm không ra gì với tổng đài vào vừa xong, không hỗ trợ 🤦",negative
"Bọn mình đã gặp trải nghiệm nản thiệt với wifi vào vừa xong, bắt khách đợi cả tiếng 😡",negative
"T nhà đã gặp trải nghiệm xàm ghê với khoa vào tối qua, không tôn trọng khách",negative
"t nhà đã gặp trải nghiệm đùa à với môn học vào tuần trước, không tôn trọng khách 🥵!!",negative
"Tôi đã gặp trải nghiệm vỡ mộng với bưu điện vào tuần trước, không cho đổi trả 💢…",negative
"Tôi đã gặp trải nghiệm lag vãi với ngân hàng vào vừa xong, mang thái độ… ^^",negative
"Chúng tôi đã gặp trải nghiệm quá chán với phòng khám vào tối qua, trì hoãn liên tục 💢 :(",negative
"Tui đã gặp trải nghiệm dở òm với website vào lúc 8h, mang thái độ 🫠",negative
"Tui đã gặp trải nghiệm mệt mỏi ghê với ship đồ ăn vào mới đây, phớt lờ góp ý!!!",negative
"Tui đã gặp trải nghiệm lag với giảng viên vào vừa xong, hủy đơn vô cớ",negative
"chúng tôi đã gặp trải nghiệm ức chế vl với app vào tuần trước, tính phí vô lý 💢!!",negative
"Bọn mình đã gặp trải nghiệm dở òm với phòng khám vào hôm qua, không tôn trọng khách 👎!!",negative
"Bọn mình đã gặp trải nghiệm ko ổn xíu nào với shipper vào tối qua, mang thái độ 😤 :v",negative
"t nhà đã gặp trải nghiệm thất vọng với giảng viên vào tuần trước, không cho đổi trả…",negative
"T nhà đã gặp trải nghiệm cực tệ với website vào tối qua, bắt khách đợi cả tiếng 😡 =))",negative
"Chúng tôi đã gặp trải nghiệm cùi bắp quá với nhân viên vào lúc 8h, nói chuyện như quát 😡…",negative
"tôi đã gặp trải nghiệm lag với phòng khám vào tuần trước, mang thái độ 🥵",negative
"T nhà đã gặp trải nghiệm thất vọng với đồ ăn vào lúc 8h, nói chuyện như quát 💢… :(",negative
"Tui đã gặp trải nghiệm rườm rà với trường vào sáng nay, trì hoãn liên tục 😡!!",negative
"T nhà đã gặp trải nghiệm phèn quá với wifi vào tối qua, giao sai hàng 💢!!",negative
"Chúng tôi đã gặp trải nghiệm phí tiền với chuyến bay vào lúc 8h, phớt lờ góp ý",negative
"t nhà đã gặp trải nghiệm lag vãi với quán ăn vào vừa xong, tự ý đổi lịch 😡!!",negative
"Tui đã gặp trải nghiệm dở tệ vl với nhân viên vào sáng nay, giao sai hàng…",negative
"Chúng tôi đã gặp trải nghiệm vô lý vãi với xe công nghệ vào lúc 8h, không trả lời tin nhắn 🤦",negative
"T nhà đã gặp trải nghiệm đùa à với laptop vào hôm nay, hủy đơn vô cớ 😡 :)",negative
"Bọn mình đã gặp trải nghiệm lag với giảng viên vào tuần trước, không cho đổi trả",negative
"Bọn mình đã gặp trải nghiệm gian lận với chuyến bay vào mới đây, tự ý đổi lịch 👎 ^^",negative
"Bọn mình đã gặp trải nghiệm không ra gì với nhân viên vào hôm nay, chửi khách",negative
"Bọn mình đã gặp trải nghiệm khó chịu với khách sạn vào lúc 8h, chửi khách 🤦!",negative
"tôi đã gặp trải nghiệm cùi bắp với bảo hành vào hôm qua, hủy đơn vô cớ 😭",negative
"T nhà đã gặp trải nghiệm lừa đảo với giảng viên vào sáng nay, tự ý đổi lịch 😤!!!",negative
"Chúng tôi đã gặp trải nghiệm phiền phức với bệnh viện vào tuần trước, làm việc cho có lệ",negative
"Chúng tôi đã gặp trải nghiệm hết muốn nói với thương mại điện tử vào lúc 8h, không cho đổi trả 🫠",negative
"tui đã gặp trải nghiệm phí tiền với xe công nghệ vào tối qua, nói chuyện như quát 😭!!",negative
"bọn mình đã gặp trải nghiệm ức chế vl với môn học vào mới đây, không cho đổi trả 👎!!!",negative
"Bọn mình đã gặp trải nghiệm chán đời với chuyến bay vào sáng nay, phớt lờ góp ý 🥵",negative
"mình đã gặp trải nghiệm nản thiệt với laptop vào vừa xong, mang thái độ 😤!!",negative
"Bọn mình đã gặp trải nghiệm phèn quá với bảo hành vào mới đây, mang thái độ",negative
"Chúng tôi đã gặp trải nghiệm toang với bác sĩ vào vừa xong, tính phí vô lý 😭…",negative
"Mình đã gặp trải nghiệm vỡ mộng với chuyến bay vào hôm nay, không cho đổi trả 💢 :v",negative
"Chúng tôi đã gặp trải nghiệm lag với xe công nghệ vào sáng nay, nói chuyện như quát 🥵 :v",negative
"T nhà đã gặp trải nghiệm rườm rà với phòng khám vào lúc 8h, không tôn trọng khách 🫠… :v",negative
"tôi đã gặp trải nghiệm cực tệ với nhân viên vào hôm nay, hủy đơn vô cớ!! ^^",negative
"Chúng tôi đã gặp trải nghiệm thiên vị với đơn hàng vào lúc 8h, không trả lời tin nhắn 😤… :v",negative
"Chúng tôi đã gặp trải nghiệm rất tệ với website vào mới đây, không xin lỗi :)",negative
"Mình đã gặp trải nghiệm fail toàn tập với điện thoại vào tối qua, không xin lỗi… =))",negative
"Mình đã gặp trải nghiệm toang với thiết bị vào hôm nay, hủy đơn vô cớ 🥵… :)",negative
"Tôi đã gặp trải nghiệm tệ vcl với chăm sóc khách hàng vào hôm qua, không hỗ trợ",negative
"bọn mình đã gặp trải nghiệm cực tệ với app vào tối qua, hủy đơn vô cớ :(",negative
"Mình đã gặp trải nghiệm dở òm với cửa hàng vào hôm qua, cúp máy 💢",negative
"Chúng tôi đã gặp trải nghiệm gian lận với phòng khám vào hôm qua, nói chuyện như quát 🫠… :)",negative
"Chúng tôi đã gặp trải nghiệm vỡ mộng với du lịch vào tối qua, bắt khách đợi cả tiếng!!",negative
"bọn mình đã gặp trải nghiệm hết hồn luôn với thương mại điện tử vào hôm qua, cúp máy!!",negative
"Mình đã gặp trải nghiệm dở òm với khách sạn vào mới đây, nói chuyện như quát 😡!!!",negative
"tôi đã gặp trải nghiệm chán đời với ngân hàng vào mới đây, đi trễ 🥵!",negative
"Chúng tôi đã gặp trải nghiệm gian lận với bệnh viện vào tối qua, bắt khách đợi cả tiếng 😡",negative
"Mình đã gặp trải nghiệm chán với nhân viên vào tuần trước, cúp máy 🤦!! =))",negative
"Tui đã gặp trải nghiệm kinh khủng với shipper vào tối qua, trì hoãn liên tục",negative
"Bọn mình đã gặp trải nghiệm không ra gì với đồ ăn vào hôm nay, làm việc cho có lệ…",negative
"Tui đã gặp trải nghiệm ko ổn xíu nào với giao hàng vào tối qua, nói chuyện như quát 💢!!",negative
"Tui đã gặp trải nghiệm mệt mỏi ghê với chăm sóc khách hàng vào vừa xong, chửi khách 🥵!!",negative
"T nhà đã gặp trải nghiệm k hiểu nổi với khoa vào sáng nay, tự ý đổi lịch 🤦 =))",negative
"Mình đã gặp trải nghiệm phiền phức với wifi vào tuần trước, tính phí vô lý :v",negative
"Bọn mình đã gặp trải nghiệm phèn quá với tổng đài vào hôm nay, không cho đổi trả! ^^",negative
"Tui đã gặp trải nghiệm ko ổn xíu nào với siêu thị vào mới đây, không trả lời tin nhắn… :)",negative
"Chúng tôi đã gặp trải nghiệm ức chế vl với nhân viên vào lúc 8h, chửi khách 😭",negative
"Tui đã gặp trải nghiệm nản thiệt với khoa vào tối qua, giao sai hàng 😡!! :(",negative
"mình đã gặp trải nghiệm nản thiệt với nhân viên vào lúc 8h, trì hoãn liên tục 😭!!!",negative
"Tui đã gặp trải nghiệm hết hồn luôn với đồ ăn vào sáng nay, đi trễ 👎…",negative
"Bọn mình đã gặp trải nghiệm thất vọng với thương mại điện tử vào mới đây, không cho đổi trả 💢…",negative
"mình đã gặp trải nghiệm dở òm với app vào hôm qua, hủy đơn vô cớ",negative
"Tôi đã gặp trải nghiệm bó tay với ứng dụng vào vừa xong, không tôn trọng khách 🥵 =))",negative
"t nhà đã gặp trải nghiệm fail toàn tập với wifi vào tuần trước, hủy đơn vô cớ 💢!!",negative
"Bọn mình đã gặp trải nghiệm xàm ghê với xe công nghệ vào mới đây, nói chuyện như quát 😭",negative
"Mình đã gặp trải nghiệm cùi bắp quá với siêu thị vào tuần trước, làm việc cho có lệ 😭",negative
"bọn mình đã gặp trải nghiệm chán ngán với ngân hàng vào lúc 8h, cúp máy 😭…",negative
"Tôi đã gặp trải nghiệm lag với thiết bị vào tối qua, không trả lời tin nhắn 🤦…",negative
"Bọn mình đã gặp trải nghiệm vô trách nhiệm với tổng đài vào tối qua, giao sai hàng",negative
"Tôi đã gặp trải nghiệm quá chán với bưu điện vào mới đây, mang thái độ 💢!",negative
"Tôi đã gặp trải nghiệm vô trách nhiệm với bưu điện vào sáng nay, chửi khách",negative
"T nhà đã gặp trải nghiệm chán với giao hàng vào sáng nay, nói chuyện như quát",negative
"Chúng tôi đã gặp trải nghiệm vỡ mộng với siêu thị vào tối qua, làm việc cho có lệ 😡…",negative
"T nhà đã gặp trải nghiệm phèn quá với ngân hàng vào sáng nay, nói chuyện như quát 🫠",negative
"bọn mình đã gặp trải nghiệm mệt mỏi ghê với cửa hàng vào mới đây, tính phí vô lý 😡",negative
